frequency_Hz Strouhal SPL_dB_raw p_rms_Pa
3.92400096e+01 1.08682242e-02 4.28749355e+01 2.78468946e-03
3.93665903e+01 1.09032830e-02 4.20973210e+01 2.54622071e-03
3.94931710e+01 1.09383418e-02 3.44895528e+01 1.06049258e-03
3.96197516e+01 1.09734006e-02 3.08500880e+01 6.97484236e-04
3.97463323e+01 1.10084594e-02 3.67038273e+01 1.36842614e-03
3.98729130e+01 1.10435182e-02 3.90102222e+01 1.78460090e-03
3.99994937e+01 1.10785770e-02 4.33817625e+01 2.95201203e-03
4.01260744e+01 1.11136358e-02 4.50536352e+01 3.57858844e-03
4.02526550e+01 1.11486945e-02 4.41512067e+01 3.22545013e-03
4.03792357e+01 1.11837533e-02 3.94981561e+01 1.88772097e-03
4.05058164e+01 1.12188121e-02 2.95763092e+01 6.02345205e-04
4.06323971e+01 1.12538709e-02 3.86488804e+01 1.71188275e-03
4.07589777e+01 1.12889297e-02 4.36347296e+01 3.03925036e-03
4.08855584e+01 1.13239885e-02 4.01338747e+01 2.03106458e-03
4.10121391e+01 1.13590473e-02 3.93197880e+01 1.84935121e-03
4.11387198e+01 1.13941061e-02 4.15422235e+01 2.38858759e-03
4.12653004e+01 1.14291648e-02 3.86452651e+01 1.71117037e-03
4.13918811e+01 1.14642236e-02 4.03390828e+01 2.07962073e-03
4.15184618e+01 1.14992824e-02 2.57833727e+01 3.89223123e-04
4.16450425e+01 1.15343412e-02 4.35501854e+01 3.00981127e-03
4.17716231e+01 1.15694000e-02 4.14806782e+01 2.37172266e-03
4.18982038e+01 1.16044588e-02 2.42359288e+01 3.25706508e-04
4.20247845e+01 1.16395176e-02 4.35549972e+01 3.01147911e-03
4.21513652e+01 1.16745764e-02 4.04857989e+01 2.11504659e-03
4.22779458e+01 1.17096351e-02 4.10624290e+01 2.26022382e-03
4.24045265e+01 1.17446939e-02 4.42264731e+01 3.25352128e-03
4.25311072e+01 1.17797527e-02 3.01009465e+01 6.39848742e-04
4.26576879e+01 1.18148115e-02 4.09689712e+01 2.23603479e-03
4.27842686e+01 1.18498703e-02 4.27835955e+01 2.75555937e-03
4.29108492e+01 1.18849291e-02 4.33568720e+01 2.94356476e-03
4.30374299e+01 1.19199879e-02 4.63992552e+01 4.17823399e-03
4.31640106e+01 1.19550467e-02 4.51672873e+01 3.62572080e-03
4.32905913e+01 1.19901055e-02 4.06435125e+01 2.15380124e-03
4.34171719e+01 1.20251642e-02 3.45663021e+01 1.06990471e-03
4.35437526e+01 1.20602230e-02 4.08033079e+01 2.19379171e-03
4.36703333e+01 1.20952818e-02 3.90812357e+01 1.79925111e-03
4.37969140e+01 1.21303406e-02 3.53717238e+01 1.17385967e-03
4.39234946e+01 1.21653994e-02 4.31997156e+01 2.89078489e-03
4.40500753e+01 1.22004582e-02 4.33112077e+01 2.92813018e-03
4.41766560e+01 1.22355170e-02 4.37438151e+01 3.07766078e-03
4.43032367e+01 1.22705758e-02 4.03339559e+01 2.07839358e-03
4.44298173e+01 1.23056345e-02 3.55617401e+01 1.19982250e-03
4.45563980e+01 1.23406933e-02 4.05778557e+01 2.13758199e-03
4.46829787e+01 1.23757521e-02 4.80759843e+01 5.06791369e-03
4.48095594e+01 1.24108109e-02 4.54992654e+01 3.76697959e-03
4.49361400e+01 1.24458697e-02 3.94681500e+01 1.88121093e-03
4.50627207e+01 1.24809285e-02 4.61150786e+01 4.04374654e-03
4.51893014e+01 1.25159873e-02 4.55942511e+01 3.80839994e-03
4.53158821e+01 1.25510461e-02 4.34187653e+01 2.96461474e-03
4.54424628e+01 1.25861048e-02 4.47586476e+01 3.45909409e-03
4.55690434e+01 1.26211636e-02 4.41467210e+01 3.22378481e-03
4.56956241e+01 1.26562224e-02 3.96541494e+01 1.92192955e-03
4.58222048e+01 1.26912812e-02 2.42906452e+01 3.27764757e-04
4.59487855e+01 1.27263400e-02 3.72665978e+01 1.46002364e-03
4.60753661e+01 1.27613988e-02 3.95441938e+01 1.89775300e-03
4.62019468e+01 1.27964576e-02 3.01518664e+01 6.43610791e-04
4.63285275e+01 1.28315164e-02 2.81725153e+01 5.12455029e-04
4.64551082e+01 1.28665751e-02 3.70350552e+01 1.42161748e-03
4.65816888e+01 1.29016339e-02 4.39342886e+01 3.14589648e-03
4.67082695e+01 1.29366927e-02 4.72485553e+01 4.60741956e-03
4.68348502e+01 1.29717515e-02 4.76376290e+01 4.81849536e-03
4.69614309e+01 1.30068103e-02 3.95491494e+01 1.89883604e-03
4.70880115e+01 1.30418691e-02 2.96191022e+01 6.05320116e-04
4.72145922e+01 1.30769279e-02 3.50095414e+01 1.12591879e-03
4.73411729e+01 1.31119867e-02 3.91005632e+01 1.80325921e-03
4.74677536e+01 1.31470455e-02 4.01867662e+01 2.04347019e-03
4.75943342e+01 1.31821042e-02 4.35810922e+01 3.02054010e-03
4.77209149e+01 1.32171630e-02 4.08412558e+01 2.20339715e-03
4.78474956e+01 1.32522218e-02 3.44880291e+01 1.06030656e-03
4.79740763e+01 1.32872806e-02 4.00680897e+01 2.01573984e-03
4.81006570e+01 1.33223394e-02 4.22093898e+01 2.57928592e-03
4.82272376e+01 1.33573982e-02 3.78361087e+01 1.55896165e-03
4.83538183e+01 1.33924570e-02 4.45206718e+01 3.36560844e-03
4.84803990e+01 1.34275158e-02 4.30146836e+01 2.82985495e-03
4.86069797e+01 1.34625745e-02 3.74923907e+01 1.49847509e-03
